TEMP,Heart Rate,Humidity,label
31.17,99.43,33.849975,2
31.17,99.43,34.029385,2
31.17,99.43,33.946085,2
31.17,99.43,33.76027,2
31.21,99.72,34.272865,2
31.21,99.72,34.144715,2
31.21,99.72,34.53557,2
31.21,99.72,33.90764,2
31.35,100.0,33.990939999999995,2
31.35,100.0,32.11356,2
31.35,100.0,31.767560000000003,2
31.21,100.32,31.857264999999998,2
31.21,100.32,33.625715,2
31.21,100.32,34.01016,2
31.21,100.32,34.1319,2
31.19,100.62,34.138310000000004,2
31.19,100.62,33.06827,2
31.19,100.62,32.876045,2
31.19,100.62,33.049045,2
31.23,101.02,33.151565,2
31.23,101.02,33.081085,2
31.23,101.02,33.029825,2
31.23,101.02,32.997785,2
31.23,101.32,33.049045,2
31.23,101.32,33.061859999999996,2
31.23,101.32,31.735525,2
31.23,101.32,31.613785,2
31.21,101.65,32.600525,2
31.21,101.65,32.728674999999996,2
31.21,101.65,32.786345,2
31.21,101.65,32.84401,2
31.27,102.02,32.184045,2
31.27,102.02,31.17808,2
31.27,102.02,31.376710000000003,2
31.27,102.02,30.979445000000002,2
31.33,102.37,31.658635,2
31.33,102.37,32.036675,2
31.33,102.37,31.95338,2
31.33,102.37,31.030704999999998,2
31.17,102.75,30.825670000000002,2
31.17,102.75,30.249000000000002,2
31.17,102.75,29.903,2
31.17,102.75,29.973480000000002,2
31.29,103.15,29.77485,2
31.29,103.15,29.390405,2
31.29,103.15,29.232325000000003,2
31.29,103.15,29.02088,2
31.33,103.53,28.783810000000003,2
31.33,103.53,28.719735,2
31.33,103.53,28.68129,2
31.33,103.53,28.444215,2
31.29,103.95,28.514695,2
31.29,103.95,28.303250000000002,2
31.29,103.95,28.136654999999998,2
31.29,103.95,27.963655,2
31.31,104.28,27.598435000000002,2
31.31,104.28,27.419025,2
31.31,104.28,27.220395000000003,2
31.31,104.28,27.10506,2
31.33,104.48,27.045515,2
31.33,104.48,26.923775,2
31.33,104.48,26.73155,2
31.33,104.48,26.686695,2
31.33,104.7,26.968625,2
31.33,104.7,26.795624999999998,2
31.33,104.7,26.686695,2
31.33,104.7,26.661065,2
31.35,104.43,26.6034,2
31.35,104.43,26.596995,2
31.35,104.43,26.590585,2
31.35,104.43,26.55214,2
31.35,104.15,26.571365,2
31.35,104.15,26.584180000000003,2
31.35,104.15,26.596995,2
31.35,104.15,26.53933,2
31.31,103.87,26.475255,2
31.31,103.87,26.45603,2
31.31,103.87,26.4304,2
31.37,103.63,26.641845000000004,2
31.37,103.63,27.0327,2
31.37,103.63,27.115995,2
31.37,103.63,27.27618,2
31.31,103.38,27.461994999999998,2
31.31,103.38,27.558104999999998,2
31.31,103.38,27.69907,2
31.31,103.38,27.788775,2
31.37,103.1,27.87207,2
31.37,103.1,27.92333,2
31.37,103.1,28.05789,2
31.37,103.1,28.17322,2
31.39,102.83,28.218075,2
31.39,102.83,28.442335,2
31.39,102.83,28.640965,2
31.39,102.83,28.679405,2
31.39,102.58,28.72426,2
31.39,102.58,28.749889999999997,2
31.39,102.58,28.79474,2
31.39,102.58,28.942115,2
31.41,102.3,28.916485,2
31.41,102.3,28.71785,2
31.41,102.3,28.705035,2
31.41,102.3,28.890855000000002,2
31.43,102.03,29.019,2
31.43,102.03,29.179184999999997,2
31.43,102.03,29.204815000000004,2
31.43,102.03,29.243260000000003,2
31.43,101.6,29.089480000000002,2
31.43,101.6,29.11511,2
31.43,101.6,29.192,2
31.43,101.6,29.384225,2
31.49,101.18,29.525185,2
31.49,101.18,29.666150000000002,2
31.49,101.18,29.821810000000003,2
31.49,101.18,29.975589999999997,2
31.51,100.7,30.078105,2
31.51,100.7,30.129365,2
31.51,100.7,30.161405000000002,2
